Rk,Player,Nation,Pos,Squad,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Age
282,Joshua King,eng ENG,MF,Fulham,2007.0,6,1,88,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.7,1,5,13,0.0,0.0,0.0,0.0,0.0,0.26,0.44,0.69,0.26,0.69,18.0
283,Antonín Kinský,cz CZE,GK,Tottenham,2003.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,22.0
284,Jakub Kiwior,pl POL,DF,Arsenal,2000.0,15,8,942,10.5,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.4,5,42,1,0.1,0.0,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,25.0
285,Justin Kluivert,nl NED,"MF,FW",Bournemouth,1999.0,32,27,2206,24.5,12,6,18,6,6,6,8,0,10.0,5.3,4.8,10.1,77,100,162,0.49,0.24,0.73,0.24,0.49,0.41,0.2,0.61,0.22,0.41,26.0
286,Ibrahima Konaté,fr FRA,DF,Liverpool,1999.0,29,28,2410,26.8,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,21,105,3,0.04,0.07,0.11,0.04,0.11,0.06,0.04,0.1,0.06,0.1,25.0
287,Ezri Konsa,eng ENG,DF,Aston Villa,1997.0,32,31,2756,30.6,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.3,17,77,11,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,27.0
288,Mateo Kovačić,hr CRO,MF,Manchester City,1994.0,30,24,2132,23.7,6,1,7,6,0,0,5,0,1.9,1.9,3.6,5.4,54,156,15,0.25,0.04,0.3,0.25,0.3,0.08,0.15,0.23,0.08,0.23,31.0
289,Caleb Kporha,eng ENG,DF,Crystal Palace,2006.0,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
290,Emil Krafth,se SWE,DF,Newcastle Utd,1994.0,11,2,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,8,3,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,30.0
291,Mohammed Kudus,gh GHA,"FW,MF",West Ham,2000.0,30,30,2493,27.7,4,3,7,4,0,0,2,1,6.7,6.7,3.0,9.7,95,77,207,0.14,0.11,0.25,0.14,0.25,0.24,0.11,0.35,0.24,0.35,24.0
292,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,2000.0,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39,25.0
293,Maxence Lacroix,fr FRA,DF,Crystal Palace,2000.0,33,33,2936,32.6,1,1,2,1,0,0,5,0,3.4,3.4,0.8,4.2,8,63,7,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.13,0.1,0.13,25.0
294,Adam Lallana,eng ENG,MF,Southampton,1988.0,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.0,0.5,0.5,0.0,0.5,0.04,0.23,0.27,0.04,0.27,37.0
295,Tariq Lamptey,gh GHA,DF,Brighton,2000.0,15,10,860,9.6,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,32,14,45,0.21,0.21,0.42,0.21,0.42,0.04,0.08,0.12,0.04,0.12,24.0
296,Will Lankshear,eng ENG,"FW,MF",Tottenham,2005.0,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
297,Roméo Lavia,be BEL,MF,Chelsea,2004.0,14,11,758,8.4,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,31,7,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,21.0
298,Mario Lemina,ga GAB,"MF,DF",Wolves,1993.0,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.2,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,31.0
299,Bernd Leno,de GER,GK,Fulham,1992.0,36,36,3240,36.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,33.0
300,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,1994.0,31,24,2094,23.3,0,1,1,0,0,0,9,0,1.1,1.1,1.5,2.6,12,94,26,0.0,0.04,0.04,0.0,0.04,0.05,0.07,0.11,0.05,0.11,30.0
301,Rico Lewis,eng ENG,"DF,MF",Manchester City,2004.0,28,21,1893,21.0,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,39,107,78,0.05,0.1,0.14,0.05,0.14,0.07,0.02,0.08,0.07,0.08,20.0
302,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,2001.0,36,34,2929,32.5,1,3,4,1,0,0,6,0,2.6,2.6,3.2,5.7,92,91,147,0.03,0.09,0.12,0.03,0.12,0.08,0.1,0.18,0.08,0.18,24.0
303,Myles Lewis-Skelly,eng ENG,DF,Arsenal,2006.0,21,14,1258,14.0,1,0,1,1,0,0,3,2,0.1,0.1,0.4,0.5,32,65,36,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,18.0
304,Matthijs de Ligt,nl NED,DF,Manchester Utd,1999.0,29,25,2123,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.0,0.08,0.08,0.08,0.1,0.01,0.12,0.1,0.12,25.0
305,Pedro Lima,br BRA,DF,Wolves,2006.0,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.16,0.07,0.16,18.0
306,Victor Lindelöf,se SWE,DF,Manchester Utd,1994.0,14,4,524,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,30.0
307,Jesper Lindstrøm,dk DEN,FW,Everton,2000.0,25,15,1239,13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.0,0.07,0.07,0.0,0.07,0.15,0.15,0.3,0.15,0.3,25.0
308,Valentino Livramento,eng ENG,DF,Newcastle Utd,2002.0,35,30,2660,29.6,0,1,1,0,0,0,1,0,0.2,0.2,2.5,2.8,74,150,102,0.0,0.03,0.03,0.0,0.03,0.01,0.09,0.09,0.01,0.09,22.0
309,Sean Longstaff,eng ENG,MF,Newcastle Utd,1997.0,25,8,798,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,27.0
310,Saša Lukić,rs SRB,MF,Fulham,1996.0,28,26,2169,24.1,0,2,2,0,0,0,12,0,1.2,1.2,2.6,3.8,37,92,29,0.0,0.08,0.08,0.0,0.08,0.05,0.11,0.16,0.05,0.16,28.0
311,Joe Lumley,eng ENG,GK,Southampton,1995.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
312,Massimo Luongo,au AUS,MF,Ipswich Town,1992.0,9,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
313,Ian Maatsen,nl NED,DF,Aston Villa,2002.0,27,8,959,10.7,1,2,3,1,0,0,2,0,0.8,0.8,2.7,3.5,27,40,91,0.09,0.19,0.28,0.09,0.28,0.07,0.25,0.33,0.07,0.33,23.0
314,Alexis Mac Allister,ar ARG,MF,Liverpool,1998.0,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,26.0
315,James Maddison,eng ENG,MF,Tottenham,1996.0,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5,28.0
316,Noni Madueke,eng ENG,FW,Chelsea,2002.0,30,25,1858,20.6,7,3,10,7,0,0,3,0,9.1,9.1,4.2,13.3,144,66,214,0.34,0.15,0.48,0.34,0.48,0.44,0.2,0.64,0.44,0.64,23.0
317,Gabriel Magalhães,br BRA,DF,Arsenal,1997.0,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,27.0
318,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,2001.0,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,24.0
