Rk,Player,Nation,Pos,Squad,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Age
352,Tyrick Mitchell,eng ENG,DF,Crystal Palace,1999.0,36,36,3002,33.4,0,4,4,0,0,0,2,0,1.3,1.3,5.8,7.2,56,66,169,0.0,0.12,0.12,0.0,0.12,0.04,0.18,0.21,0.04,0.21,25.0
353,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,1997.0,34,28,2532,28.1,9,3,12,9,0,0,1,0,8.8,8.8,4.4,13.2,139,82,279,0.32,0.11,0.43,0.32,0.43,0.31,0.16,0.47,0.31,0.47,27.0
354,Jakub Moder,pl POL,MF,Brighton,1999.0,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45,26.0
355,Jeremy Monga,,"FW,MF",Leicester City,,5,0,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,5,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,
356,Mikey Moore,eng ENG,FW,Tottenham,2007.0,9,2,280,3.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,11,8,37,0.0,0.32,0.32,0.0,0.32,0.06,0.11,0.17,0.06,0.17,17.0
357,Morato,br BRA,DF,Nott'ham Forest,2001.0,25,6,899,10.0,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,1,18,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,23.0
358,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,1993.0,15,11,955,10.6,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.4,26,34,34,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.13,0.02,0.13,31.0
359,Sam Morsy,eg EGY,MF,Ipswich Town,1991.0,31,29,2576,28.6,1,1,2,1,0,0,10,0,0.4,0.4,0.9,1.3,18,107,9,0.03,0.03,0.07,0.03,0.07,0.01,0.03,0.04,0.01,0.04,33.0
360,Yerson Mosquera,co COL,DF,Wolves,2001.0,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,24.0
361,Mason Mount,eng ENG,MF,Manchester Utd,1999.0,15,6,488,5.4,1,0,1,1,0,0,3,0,2.3,2.3,0.5,2.8,12,25,28,0.18,0.0,0.18,0.18,0.18,0.43,0.09,0.52,0.43,0.52,26.0
362,Divin Mubama,eng ENG,FW,Manchester City,2004.0,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,20.0
363,Mykhailo Mudryk,ua UKR,FW,Chelsea,2001.0,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73,24.0
364,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,1996.0,12,11,968,10.8,1,1,2,1,0,0,0,0,3.2,3.2,1.6,4.7,7,8,28,0.09,0.09,0.19,0.09,0.19,0.29,0.14,0.44,0.29,0.44,28.0
365,Rodrigo Muniz,br BRA,FW,Fulham,2001.0,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,24.0
366,Daniel Muñoz,co COL,DF,Crystal Palace,1996.0,35,35,3048,33.9,4,5,9,4,0,0,10,0,4.9,4.9,5.4,10.3,57,93,199,0.12,0.15,0.27,0.12,0.27,0.14,0.16,0.3,0.14,0.3,28.0
367,Arijanet Muric,xk KVX,GK,Ipswich Town,1998.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
368,Murillo,br BRA,DF,Nott'ham Forest,2002.0,34,34,3008,33.4,2,0,2,2,0,0,5,0,1.4,1.4,1.1,2.5,20,103,5,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,22.0
369,Jacob Murphy,eng ENG,FW,Newcastle Utd,1995.0,33,29,2229,24.8,8,12,20,8,0,0,4,0,5.7,5.7,8.8,14.6,73,77,225,0.32,0.48,0.81,0.32,0.81,0.23,0.36,0.59,0.23,0.59,30.0
370,Vitaliy Mykolenko,ua UKR,DF,Everton,1999.0,33,33,2902,32.2,1,1,2,1,0,0,3,0,0.5,0.5,1.6,2.1,31,107,92,0.03,0.03,0.06,0.03,0.06,0.01,0.05,0.07,0.01,0.07,25.0
371,Iliman Ndiaye,sn SEN,FW,Everton,2000.0,31,27,2282,25.4,7,0,7,5,2,2,3,0,5.2,3.6,1.6,5.2,81,52,115,0.28,0.0,0.28,0.2,0.2,0.21,0.06,0.27,0.14,0.21,25.0
372,Wilfred Ndidi,ng NGA,MF,Leicester City,1996.0,27,27,2237,24.9,0,4,4,0,0,0,8,0,2.0,2.0,1.9,3.9,18,67,75,0.0,0.16,0.16,0.0,0.16,0.08,0.08,0.16,0.08,0.16,28.0
373,Kosta Nedeljković,rs SRB,DF,Aston Villa,2005.0,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
374,Reiss Nelson,eng ENG,FW,Arsenal,1999.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
375,Reiss Nelson,eng ENG,FW,Fulham,1999.0,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,25.0
376,Neto,br BRA,GK,Bournemouth,1989.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
377,Pedro Neto,pt POR,FW,Chelsea,2000.0,33,22,2103,23.4,4,5,9,4,0,0,8,0,3.1,3.1,6.1,9.2,119,59,241,0.17,0.21,0.39,0.17,0.39,0.13,0.26,0.4,0.13,0.4,25.0
378,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,1999.0,27,8,925,10.3,1,1,2,1,0,0,6,1,4.8,4.8,1.6,6.4,39,17,72,0.1,0.1,0.19,0.1,0.19,0.47,0.16,0.62,0.47,0.62,25.0
379,Christopher Nkunku,fr FRA,FW,Chelsea,1997.0,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.2,0.49,0.29,0.49,0.47,0.21,0.68,0.47,0.67,27.0
380,Gustavo Nunes,br BRA,"FW,MF",Brentford,2005.0,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
381,Matheus Nunes,pt POR,"DF,MF",Manchester City,1998.0,24,17,1494,16.6,1,5,6,1,0,0,4,0,0.9,0.9,4.2,5.1,59,69,156,0.06,0.3,0.36,0.06,0.36,0.05,0.25,0.31,0.05,0.31,26.0
382,Darwin Núñez,uy URU,FW,Liverpool,1999.0,28,8,1075,11.9,5,2,7,5,0,0,8,0,5.3,5.3,1.3,6.6,23,27,73,0.42,0.17,0.59,0.42,0.59,0.44,0.11,0.55,0.44,0.55,25.0
383,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,2007.0,25,10,821,9.1,4,2,6,4,0,0,1,0,1.1,1.1,1.0,2.2,44,30,102,0.44,0.22,0.66,0.44,0.66,0.12,0.11,0.24,0.12,0.24,18.0
384,Christian Nørgaard,dk DEN,MF,Brentford,1994.0,32,32,2639,29.3,5,3,8,5,0,0,7,1,3.9,3.9,1.0,5.0,14,142,39,0.17,0.1,0.27,0.17,0.27,0.13,0.03,0.17,0.13,0.17,31.0
385,Jake O'Brien,ie IRL,DF,Everton,2001.0,18,15,1391,15.5,2,0,2,2,0,0,5,0,0.7,0.7,0.6,1.3,7,43,24,0.13,0.0,0.13,0.13,0.13,0.05,0.04,0.08,0.05,0.08,24.0
386,Matt O'Riley,dk DEN,MF,Brighton,2000.0,19,11,905,10.1,1,1,2,1,0,0,1,0,2.0,2.0,1.7,3.7,20,36,49,0.1,0.1,0.2,0.1,0.2,0.2,0.17,0.37,0.2,0.37,24.0
387,Dara O'Shea,ie IRL,DF,Ipswich Town,1999.0,33,33,2942,32.7,0,2,2,0,0,0,6,0,1.2,1.2,0.5,1.7,3,73,8,0.0,0.06,0.06,0.0,0.06,0.04,0.02,0.05,0.04,0.05,26.0
388,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,2007.0,6,1,155,1.7,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,1,12,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,17.0
389,Wilson Odobert,fr FRA,FW,Tottenham,2004.0,14,8,719,8.0,1,0,1,1,0,0,0,0,1.2,1.2,0.9,2.1,43,23,65,0.13,0.0,0.13,0.13,0.13,0.15,0.11,0.27,0.15,0.27,20.0
390,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,1997.0,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,28.0
391,Caleb Okoli,it ITA,DF,Leicester City,2001.0,19,12,1125,12.5,1,0,1,1,0,0,4,0,0.6,0.6,0.0,0.6,3,32,2,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,23.0
392,Robin Olsen,se SWE,GK,Aston Villa,1990.0,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
393,Amadou Onana,be BEL,MF,Aston Villa,2001.0,24,18,1468,16.3,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,24,63,15,0.18,0.0,0.18,0.18,0.18,0.13,0.02,0.15,0.13,0.15,23.0
394,André Onana,cm CMR,GK,Manchester Utd,1996.0,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,29.0
395,Paul Onuachu,ng NGA,FW,Southampton,1994.0,24,11,1029,11.4,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.35,0.09,0.44,0.35,0.44,0.32,0.04,0.36,0.32,0.36,30.0
396,Frank Onyeka,ng NGA,MF,Brentford,1998.0,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
397,Lewis Orford,eng ENG,MF,West Ham,2006.0,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,19.0
398,Stefan Ortega,de GER,GK,Manchester City,1992.0,13,12,1100,12.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
399,William Osula,dk DEN,FW,Newcastle Utd,2003.0,12,0,104,1.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,2,12,0.87,0.0,0.87,0.87,0.87,0.1,0.08,0.18,0.1,0.18,21.0
400,Dango Ouattara,bf BFA,FW,Bournemouth,2002.0,32,21,2005,22.3,7,4,11,7,0,0,3,0,8.4,8.4,5.5,13.8,79,43,191,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,23.0
401,Nico O’Reilly,eng ENG,DF,Manchester City,2005.0,9,6,528,5.9,2,0,2,2,0,0,0,0,1.3,1.3,0.4,1.6,16,17,26,0.34,0.0,0.34,0.34,0.34,0.22,0.06,0.28,0.22,0.28,20.0
402,Alex Palmer,eng ENG,GK,Ipswich Town,1996.0,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
403,Cole Palmer,eng ENG,MF,Chelsea,2002.0,35,34,3011,33.5,15,8,23,11,4,5,6,0,17.2,13.2,10.0,23.3,111,203,175,0.45,0.24,0.69,0.33,0.57,0.51,0.3,0.81,0.4,0.7,23.0
404,Emerson Palmieri,it ITA,DF,West Ham,1994.0,31,26,2113,23.5,2,1,3,2,0,0,5,0,2.0,2.0,1.5,3.4,47,66,83,0.09,0.04,0.13,0.09,0.13,0.08,0.06,0.15,0.08,0.15,30.0
405,Lucas Paquetá,br BRA,"MF,FW",West Ham,1997.0,31,27,2336,26.0,4,0,4,2,2,2,9,0,5.2,3.6,3.1,6.7,22,145,82,0.15,0.0,0.15,0.08,0.08,0.2,0.12,0.32,0.14,0.26,27.0
406,Thomas Partey,gh GHA,"MF,DF",Arsenal,1993.0,33,29,2617,29.1,4,2,6,4,0,0,4,0,2.0,2.0,2.0,4.0,33,173,48,0.14,0.07,0.21,0.14,0.21,0.07,0.07,0.14,0.07,0.14,31.0
407,Nathan Patterson,sct SCO,DF,Everton,2001.0,10,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,0.0,0.26,0.26,0.0,0.26,0.02,0.11,0.13,0.02,0.13,23.0
408,Andreas Pereira,br BRA,MF,Fulham,1996.0,32,24,1953,21.7,2,4,6,2,0,1,7,0,3.5,2.7,4.5,7.2,29,103,80,0.09,0.18,0.28,0.09,0.28,0.16,0.21,0.37,0.13,0.33,29.0
409,Ricardo Pereira,pt POR,DF,Leicester City,1993.0,8,4,342,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,14,5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,31.0
410,Kalvin Phillips,eng ENG,MF,Ipswich Town,1995.0,19,14,1237,13.7,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.7,4,51,4,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,29.0
411,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,2002.0,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,23.0
412,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,2002.0,10,5,474,5.3,2,0,2,2,0,0,1,0,2.0,2.0,0.2,2.2,13,10,36,0.38,0.0,0.38,0.38,0.38,0.37,0.05,0.42,0.37,0.42,23.0
413,Jordan Pickford,eng ENG,GK,Everton,1994.0,36,36,3240,36.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,31.0
414,Ethan Pinnock,jm JAM,DF,Brentford,1993.0,22,21,1913,21.3,2,0,2,2,0,0,2,0,1.1,1.1,1.2,2.3,3,41,9,0.09,0.0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,31.0
415,Daniel Podence,pt POR,"MF,FW",Wolves,1995.0,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,29.0
416,Alfie Pond,eng ENG,DF,Wolves,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
417,Nick Pope,eng ENG,GK,Newcastle Utd,1992.0,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
418,Pedro Porro,es ESP,DF,Tottenham,1999.0,32,27,2520,28.0,2,6,8,2,0,0,4,0,1.6,1.6,4.4,6.0,64,152,107,0.07,0.21,0.29,0.07,0.29,0.06,0.16,0.21,0.06,0.21,25.0
419,Jarell Quansah,eng ENG,DF,Liverpool,2003.0,12,3,405,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,2,16,4,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,22.0
420,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,2001.0,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
421,Aaron Ramsdale,eng ENG,GK,Southampton,1998.0,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
422,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,2001.0,28,19,1595,17.7,1,3,4,1,0,0,4,1,1.6,1.6,2.3,3.9,60,68,110,0.06,0.17,0.23,0.06,0.23,0.09,0.13,0.22,0.09,0.22,23.0
423,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,1997.0,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,27.0
424,Marcus Rashford,eng ENG,FW,Aston Villa,1997.0,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92,27.0
425,David Raya,es ESP,GK,Arsenal,1995.0,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
426,Harrison Reed,eng ENG,MF,Fulham,1995.0,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27,30.0
427,Remy Rees-Dottin,eng ENG,FW,Bournemouth,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
428,Sergio Reguilón,es ESP,DF,Tottenham,1996.0,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,28.0
429,Vitor Reis,br BRA,DF,Manchester City,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
430,Chadi Riad,ma MAR,DF,Crystal Palace,2003.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
431,Declan Rice,eng ENG,MF,Arsenal,1999.0,33,31,2645,29.4,3,7,10,3,0,0,7,1,3.3,3.3,6.5,9.7,88,180,92,0.1,0.24,0.34,0.1,0.34,0.11,0.22,0.33,0.11,0.33,26.0
432,Chris Richards,us USA,DF,Crystal Palace,2000.0,22,20,1742,19.4,1,0,1,1,0,0,4,1,1.3,1.3,0.1,1.4,6,37,2,0.05,0.0,0.05,0.05,0.05,0.07,0.01,0.07,0.07,0.07,25.0
433,Richarlison,br BRA,FW,Tottenham,1997.0,13,4,475,5.3,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.76,0.19,0.95,0.76,0.95,0.7,0.17,0.87,0.7,0.87,28.0
434,Andrew Robertson,sct SCO,DF,Liverpool,1994.0,32,28,2398,26.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,62,167,97,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.22,0.04,0.22,31.0
435,Antonee Robinson,us USA,DF,Fulham,1997.0,34,33,2989,33.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,114,123,265,0.0,0.3,0.3,0.0,0.3,0.02,0.12,0.15,0.02,0.15,27.0
436,Jay Robinson,eng ENG,"MF,FW",Southampton,2007.0,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,18.0
437,Rodri,es ESP,MF,Manchester City,1996.0,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,28.0
438,Guido Rodríguez,ar ARG,MF,West Ham,1994.0,21,15,1081,12.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,3,31,5,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,31.0
439,Mads Roerslev,dk DEN,DF,Brentford,1999.0,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.0,0.16,0.16,0.0,0.16,0.02,0.24,0.26,0.02,0.26,25.0
440,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,2002.0,35,35,2941,32.7,8,9,17,8,0,0,9,0,6.2,6.2,7.7,13.9,108,117,178,0.24,0.28,0.52,0.24,0.52,0.19,0.24,0.43,0.19,0.43,22.0
441,Cristian Romero,ar ARG,DF,Tottenham,1998.0,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.0,0.06,0.06,0.06,0.1,0.04,0.14,0.1,0.14,27.0
442,Georginio Rutter,fr FRA,"MF,FW",Brighton,2002.0,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,23.0
443,José Sá,pt POR,GK,Wolves,1993.0,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,32.0
444,Bukayo Saka,eng ENG,"FW,MF",Arsenal,2001.0,23,19,1626,18.1,6,10,16,5,1,1,3,0,6.7,5.9,7.0,12.9,89,66,241,0.33,0.55,0.89,0.28,0.83,0.37,0.39,0.76,0.33,0.71,23.0
445,Mohamed Salah,eg EGY,FW,Liverpool,1992.0,36,36,3191,35.5,28,18,46,19,9,9,1,0,24.0,17.0,13.5,30.5,148,137,455,0.79,0.51,1.3,0.54,1.04,0.68,0.38,1.06,0.48,0.86,32.0
446,William Saliba,fr FRA,DF,Arsenal,2001.0,34,34,2994,33.3,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,24.0
447,Robert Sánchez,es ESP,GK,Chelsea,1997.0,30,30,2700,30.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
448,Jadon Sancho,eng ENG,FW,Chelsea,2000.0,30,18,1703,18.9,3,4,7,3,0,0,2,0,2.2,2.2,3.7,5.8,100,88,221,0.16,0.21,0.37,0.16,0.37,0.11,0.19,0.31,0.11,0.31,25.0
449,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,1997.0,11,5,452,5.0,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,1,21,3,0.0,0.2,0.2,0.0,0.2,0.0,0.08,0.08,0.0,0.08,27.0
450,Pablo Sarabia,es ESP,"MF,FW",Wolves,1992.0,22,6,748,8.3,3,2,5,3,0,0,3,0,2.9,2.9,1.6,4.5,12,57,54,0.36,0.24,0.6,0.36,0.6,0.35,0.19,0.54,0.35,0.54,33.0
451,Jeremy Sarmiento,ec ECU,MF,Brighton,2002.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
452,Ismaila Sarr,sn SEN,MF,Crystal Palace,1998.0,36,28,2559,28.4,7,5,12,7,0,0,4,0,9.8,9.8,7.8,17.6,71,81,175,0.25,0.18,0.42,0.25,0.42,0.34,0.27,0.62,0.34,0.62,27.0
453,Sávio,br BRA,"FW,MF",Manchester City,2004.0,28,21,1749,19.4,1,8,9,1,0,0,3,0,5.0,5.0,6.9,11.9,135,66,244,0.05,0.41,0.46,0.05,0.46,0.26,0.35,0.61,0.26,0.61,21.0
454,Oliver Scarles,eng ENG,DF,West Ham,2005.0,14,6,594,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,11,21,39,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,19.0
455,Dane Scarlett,eng ENG,"FW,MF",Tottenham,2004.0,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.0,2.65,2.65,0.0,2.65,0.09,0.12,0.22,0.09,0.22,21.0
456,Kevin Schade,de GER,FW,Brentford,2001.0,36,24,2140,23.8,11,2,13,11,0,0,3,0,8.0,8.0,3.6,11.6,57,33,154,0.46,0.08,0.55,0.46,0.55,0.34,0.15,0.49,0.34,0.49,23.0
457,Fabian Schär,ch SUI,DF,Newcastle Utd,1991.0,32,31,2754,30.6,4,0,4,4,0,0,8,1,2.4,2.4,0.4,2.8,14,108,19,0.13,0.0,0.13,0.13,0.13,0.08,0.01,0.09,0.08,0.09,33.0
458,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,1992.0,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,32.0
459,Alex Scott,eng ENG,MF,Bournemouth,2003.0,19,8,754,8.4,0,0,0,0,0,0,3,0,0.7,0.7,0.9,1.6,15,52,33,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.19,0.08,0.19,21.0
460,Matz Sels,be BEL,GK,Nott'ham Forest,1992.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
