Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
487,Ross Stewart,sct SCO,FW,Southampton,28-309,1996,10,3,289,3.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,2,6,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
488,Jakub Stolarczyk,pl POL,GK,Leicester City,24-148,2000,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
489,John Stones,eng ENG,"DF,MF",Manchester City,30-353,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches
490,Jørgen Strand Larsen,no NOR,FW,Wolves,25-099,2000,33,29,2495,27.7,13,2,15,13,0,0,4,0,10.0,10.0,2.4,12.4,17,29,108,0.47,0.07,0.54,0.47,0.54,0.36,0.09,0.45,0.36,0.45,Matches
491,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-322,2000,29,15,1467,16.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,32,68,76,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,Matches
492,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-090,2002,24,15,1265,14.1,1,1,2,1,0,0,2,0,1.4,1.4,1.0,2.4,59,26,81,0.07,0.07,0.14,0.07,0.14,0.10,0.07,0.17,0.10,0.17,Matches
493,Crysencio Summerville,nl NED,"FW,MF",West Ham,23-198,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
494,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-234,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.00,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches
495,Dominik Szoboszlai,hu HUN,MF,Liverpool,24-203,2000,34,27,2369,26.3,5,6,11,5,0,0,6,0,7.2,7.2,7.2,14.4,68,121,122,0.19,0.23,0.42,0.19,0.42,0.27,0.27,0.55,0.27,0.55,Matches
496,Matt Targett,eng ENG,DF,Newcastle Utd,29-240,1995,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
497,James Tarkowski,eng ENG,DF,Everton,32-178,1992,33,33,2922,32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,Matches
498,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-055,1999,27,18,1760,19.6,3,5,8,3,0,0,5,0,5.3,5.3,2.9,8.2,49,109,118,0.15,0.26,0.41,0.15,0.41,0.27,0.15,0.42,0.27,0.42,Matches
499,Charlie Taylor,eng ENG,DF,Southampton,31-240,1993,7,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
500,Jack Taylor,ie IRL,MF,Ipswich Town,26-327,1998,30,4,827,9.2,1,0,1,1,0,0,4,0,0.7,0.7,0.5,1.3,11,42,22,0.11,0.00,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,Mathys Tel,fr FRA,FW,Tottenham,20-019,2005,11,9,739,8.2,2,1,3,1,1,1,1,0,2.3,1.5,1.5,3.0,22,19,60,0.24,0.12,0.37,0.12,0.24,0.28,0.19,0.47,0.18,0.37,Matches
502,Kenny Tete,nl NED,DF,Fulham,29-219,1995,20,19,1594,17.7,0,2,2,0,0,0,4,0,1.2,1.2,0.9,2.2,33,55,49,0.00,0.11,0.11,0.00,0.11,0.07,0.05,0.12,0.07,0.12,Matches
503,Thiago,br BRA,FW,Brentford,23-324,2001,6,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,5,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
504,Luke Thomas,eng ENG,DF,Leicester City,23-340,2001,12,11,949,10.5,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,4,33,15,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08,Matches
