Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
540,Joel Ward,eng ENG,DF,Crystal Palace,35-199,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
541,James Ward-Prowse,eng ENG,MF,West Ham,30-196,1994,13,10,903,10.0,0,1,1,0,0,0,2,0,1.1,1.1,1.5,2.6,9,49,4,0.00,0.10,0.10,0.00,0.10,0.11,0.15,0.26,0.11,0.26,Matches
542,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-196,1994,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0.00,0.23,0.23,0.00,0.23,0.01,0.25,0.26,0.01,0.26,Matches
543,Ollie Watkins,eng ENG,FW,Aston Villa,29-137,1995,36,29,2423,26.9,16,7,23,14,2,2,2,0,15.1,13.5,3.0,16.6,54,29,152,0.59,0.26,0.85,0.52,0.78,0.56,0.11,0.67,0.50,0.62,Matches
544,Adam Webster,eng ENG,DF,Brighton,30-132,1995,12,9,707,7.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,41,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.00,0.07,Matches
545,Danny Welbeck,eng ENG,FW,Brighton,34-171,1990,29,23,2032,22.6,10,4,14,9,1,1,5,0,8.9,8.1,1.3,9.4,20,45,88,0.44,0.18,0.62,0.40,0.58,0.39,0.06,0.45,0.36,0.42,Matches
546,Welington,br BRA,"DF,MF",Southampton,24-086,2001,8,4,302,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,7,10,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
547,Timo Werner,de GER,"FW,MF",Tottenham,29-071,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61,Matches
548,Adam Wharton,eng ENG,MF,Crystal Palace,20-348,2004,20,16,1318,14.6,0,2,2,0,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0.00,0.14,0.14,0.00,0.14,0.03,0.21,0.23,0.03,0.23,Matches
549,Ben White,eng ENG,DF,Arsenal,27-220,1997,15,11,1018,11.3,0,1,1,0,0,0,2,0,0.4,0.4,0.9,1.3,16,47,33,0.00,0.09,0.09,0.00,0.09,0.04,0.08,0.12,0.04,0.12,Matches
550,Mats Wieffer,nl NED,"MF,DF",Brighton,25-181,1999,23,8,835,9.3,1,3,4,1,0,0,6,0,0.7,0.7,1.5,2.2,18,55,18,0.11,0.32,0.43,0.11,0.43,0.08,0.16,0.24,0.08,0.24,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
551,Neco Williams,wls WAL,DF,Nott'ham Forest,24-033,2001,33,26,2414,26.8,1,3,4,1,0,0,7,0,2.3,2.3,1.5,3.8,65,85,95,0.04,0.11,0.15,0.04,0.15,0.09,0.06,0.14,0.09,0.14,Matches
552,Willian,br BRA,"FW,MF",Fulham,36-280,1988,10,2,257,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,11,40,33,0.00,0.00,0.00,0.00,0.00,0.10,0.18,0.28,0.10,0.28,Matches
553,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-269,1999,30,11,1026,11.4,0,2,2,0,0,0,3,0,1.6,1.6,1.9,3.5,36,38,82,0.00,0.18,0.18,0.00,0.18,0.14,0.17,0.31,0.14,0.31,Matches
554,Callum Wilson,eng ENG,FW,Newcastle Utd,33-078,1992,16,1,286,3.2,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5,3,12,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
555,Harry Wilson,wls WAL,"FW,MF",Fulham,28-055,1997,23,11,1077,12.0,5,1,6,5,0,0,2,0,4.0,4.0,1.1,5.1,18,49,89,0.42,0.08,0.50,0.42,0.50,0.34,0.09,0.43,0.34,0.43,Matches
556,Harry Winks,eng ENG,MF,Leicester City,29-103,1996,22,17,1538,17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09,Matches
557,Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-254,2004,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
558,Yoane Wissa,cd COD,FW,Brentford,28-255,1996,33,32,2739,30.4,18,3,21,18,0,0,3,0,17.0,17.0,1.9,18.9,54,61,139,0.59,0.10,0.69,0.59,0.69,0.56,0.06,0.62,0.56,0.62,Matches
559,Chris Wood,nz NZL,FW,Nott'ham Forest,33-160,1991,34,33,2779,30.9,20,3,23,17,3,3,1,0,12.3,10.0,2.5,12.5,14,36,88,0.65,0.10,0.74,0.55,0.65,0.40,0.08,0.48,0.32,0.40,Matches
560,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-350,2002,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
561,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-207,1998,15,12,1187,13.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
562,Yehor Yarmoliuk,ua UKR,MF,Brentford,21-076,2004,29,13,1286,14.3,0,0,0,0,0,0,6,0,0.6,0.6,0.9,1.5,15,57,46,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
563,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-176,1997,33,18,1891,21.0,2,1,3,2,0,0,10,0,2.3,2.3,1.2,3.5,17,48,15,0.10,0.05,0.14,0.10,0.14,0.11,0.06,0.16,0.11,0.16,Matches
564,Leny Yoro,fr FRA,DF,Manchester Utd,19-184,2005,21,12,1165,12.9,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
565,Ashley Young,eng ENG,"DF,FW",Everton,39-311,1985,30,18,1712,19.0,1,3,4,1,0,0,6,1,0.3,0.3,2.1,2.3,21,85,29,0.05,0.16,0.21,0.05,0.21,0.01,0.11,0.12,0.01,0.12,Matches
566,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-257,2002,34,33,2929,32.5,0,0,0,0,0,0,4,1,1.1,1.1,0.6,1.6,26,129,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
567,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-152,1996,14,4,458,5.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,37,12,0.00,0.20,0.20,0.00,0.20,0.05,0.03,0.08,0.05,0.08,Matches
568,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-359,2001,32,14,1402,15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.10,0.41,0.31,0.41,Matches
569,Martin Ødegaard,no NOR,MF,Arsenal,26-150,1998,28,25,2220,24.7,2,7,9,1,1,1,4,0,4.7,3.9,5.3,9.2,89,250,146,0.08,0.28,0.36,0.04,0.32,0.19,0.21,0.41,0.16,0.37,Matches
